"customer","phone","title"
"OLVERA, DWAYNE","62127829280","ACADEMY DINOSAUR"
"HUEY, BRANDON","99883471275","ACE GOLDFINGER"
"OWENS, CARMEN","272234298332","AFFAIR PREJUDICE"
"HANNON, SETH","864392582257","AFRICAN EGG"
"COLE, TRACY","371490777743","ALI FOREVER"
"DEAN, MARCIA","727785483194","ALONE TRIP"
"VINES, CECIL","879347453467","AMADEUS HOLY"
"TURNER, MARIE","177727722820","AMERICAN CIRCUS"
"GILLILAND, JOE","53912826864","AMISTAD MIDSUMMER"
"BAUGH, EDWARD","46568045367","ARMAGEDDON LOST"
"FRANKLIN, BETH","470884141195","BAKED CLEOPATRA"
"WILLIAMSON, GINA","584316724815","BANG KWAI"
"ELLINGTON, MELVIN","368284120423","BASIC EASY"
"GREGORY, SONIA","195003555232","BERETS AGENT"
"WOODS, FLORENCE","330838016880","BLADE POLISH"
"WREN, TYLER","211256301880","BLANKET BEVERLY"
"BAILEY, MILDRED","250767749542","BOOGIE AMELIE"
"HILL, ANNA","911872220378","BOULEVARD MOB"
"HAYES, ROBIN","942570536750","BOUND CHEAPER"
"BUTLER, LOIS","345679835036","BUBBLE GROSSE"
"ANDERSON, LISA","635297277345","BULL SHAWSHANK"
"STANFIELD, SERGIO","387448063440","CAMELOT VACATION"
"HARRIS, HELEN","990911107354","CANDIDATE PERDITION"
"HERNANDEZ, ANGELA","18461860151","CANYON STOCK"
"SHELTON, DIANNE","117592274996","CAT CONEHEADS"
"MARKHAM, WILLIE","296394569728","CENTER DINOSAUR"
"BAILEY, MILDRED","250767749542","CHAMBER ITALIAN"
"KNIGHT, GAIL","904253967161","CHASING FIGHT"
"COY, GARY","168884817145","CHITTY LOCK"
"BROTHERS, CHRIS","537374465982","CINCINATTI WHISPERER"
"GAVIN, BILL","924663855568","CLEOPATRA DEVIL"
"MYERS, PEGGY","196568435814","CLUB GRAFFITI"
"WOODS, FLORENCE","330838016880","CLUB GRAFFITI"
"DIAZ, EMILY","333339908719","CONNECTION MICROCOSMOS"
"ABNEY, RAFAEL","82671830126","CONVERSATION DOWNHILL"
"LOVELACE, BARRY","689681677428","CREATURES SHAKESPEARE"
"CROMWELL, IVAN","203804046132","CREATURES SHAKESPEARE"
"GILLETTE, DUSTIN","131912793873","CROOKED FROGMEN"
"WHEELER, LUCY","49677664184","CURTAIN VIDEOTAPE"
"STANLEY, ALLISON","594319417514","CYCLONE FAMILY"
"SPURLOCK, KYLE","736517327853","DANCES NONE"
"BANKS, JESSIE","352679173732","DANCES NONE"
"WEAVER, YOLANDA","352469351088","DAY UNFAITHFUL"
"MOORE, MARGARET","380657522649","DEEP CRUSADE"
